id,cat,品名,單價,單位,庫存總量,低庫存門檻
21080445,beans,衣索比亞 神燈系列 谷吉 香妃 水洗 G1,500,包,60,10
21080462,beans,衣索比亞 西達馬 班莎 聖塔維 水洗 G1,500,包,60,10
21080461,beans,衣索比亞 谷吉 姬格薩處理廠 水洗 G1,500,包,60,10
21040851,beans,巴拿馬 微光秘密系列 愛德華 小農藝妓 水洗 SHB EP,890,包,90,10
21090155,beans,夏威夷 坎西諾農場 可那 Fancy 水洗,1350,包,10,3
21070942,beans,巴拿馬 CCD計畫 Los Pozos 小農藝妓 日曬 Lot1,900,包,10,3
21070943,beans,巴拿馬 CCD計畫 Los Pozos 小農藝妓 日曬 Lot2,870,包,10,3
21090153,beans,玻利維亞 伊莎貝爾莊園 羅沙里歐 藝妓 水洗,1000,包,10,3
